;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Item_price_before;Discount_facilitator
0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a54895816ec.png;;Avokadai READY TO EAT WELL DONE, fasuoti, 1 pak. (2 vnt.);Iki 01.22;0;1;79;;
1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a54896af89e.png;;Obuoliai GOLDEN, 1 kg;Iki 01.22;0;1;49;;
2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5488de43bf.png;;Smulkiavaisiai slyviniai pomidorai, fasuoti, 250 g;Iki 01.22;0;0;79;;
3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5488f249cc.png;;Didieji greipfrutai POMELO, 1 kg;Iki 01.22;0;0;89;;
4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5488d94baf.png;;Lietuviškos bulvės, 1 kg;Iki 01.22;0;0;29;;
5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5488ef0c19.png;;Mangas, 1 vnt.;Iki 01.22;0;0;89;;
6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5488e1702b.png;;Granatai, 1 kg;Iki 01.22;0;2;29;;
7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5488e401c5.png;;Mandarinai, 1 kg;Iki 01.22;0;1;39;;
8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5488e94263.png;;Šilauogės kibirėlyje, fasuotos, 400 g;Iki 01.22;0;5;39;;
9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5488e68aa7.png;;Žaliosios besėklės vynuogės, fasuotos, 500 g;Iki 01.22;0;1;99;;
10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5488ec95ea.png;;Džiovintos datulės, fasuotos, 200 g;Iki 01.22;0;0;69;;
11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5488dbaad0.png;;Ilgavaisiai agurkai, 1 kg;Iki 01.22;0;1;95;;
12;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a5489184ac9.png;;Brokolis, 1 vnt.;Iki 01.22;0;1;19;;
13;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65a54892abca5.png;-30%;Salotų mišiniams WELL DONE;Iki 01.22;0;;;;
14;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a54872ccafb.png;-33%;Šviežia viščiukų broilerių šlaunelių mėsa WELL DONE, 500 g;Iki 01.22;0;1;99;2,99;
15;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a11bb245cb6.png;1+1;SU PROGRAMĖLE! Virtas vištienos šlaunelių mėsos kumpelis, 2 pak. x 280 g;Iki 01.22;0;2;99;;Tik Su Programele
16;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a54873109bc.png;;Šviežia viščiukų broilerių filė KAIŠIADORIŲ PAUKŠTYNAS, 500 g;Iki 01.22;0;3;29;;AČIŪ
17;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a548739e89f.png;-50%;Lėtai virti marinuoti kiaulienos šonkauliai BIOVELA, 900 g;Iki 01.22;0;7;49;14,99;
18;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a5487407693.png;-33%;Atšaldyta kiaulienos sprandinė be kaulo, vakuumuota, 1 kg;Iki 01.22;0;3;99;5,99;
19;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a5487351a60.png;;Atšaldyta smulkinta vištų kulšelių mėsa WELL DONE, 400 g;Iki 01.22;0;1;99;;AČIŪ
20;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a548736765e.png;-20%;Švieži kalakutienos filė gabaliukai WELL DONE, 200 g;Iki 01.22;0;1;19;1,49;
21;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a54873c416a.png;-23%;Šviežia pjaustyta kiaulienos nugarinė WELL DONE, 360 g;Iki 01.22;0;2;29;2,99;
22;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a5488151699.png;-20%;Šviežia viščiukų broilerių vidinė filė VILNIAUS PAUKŠTYNAS, 400 g;Iki 01.22;0;3;99;4,99;
23;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a5488194de7.png;-20%;Šviežios viščiukų broilerių blauzdelės be sąnarių VILNIAUS PAUKŠTYNAS, 500 g;Iki 01.22;2;2;39;2,99;
24;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a5488d1d87f.png;-31%;Šviežios vištienos dešrelės su žolelėmis VILNIAUS PAUKŠTYNAS, 400 g;Iki 01.22;0;2;39;3,49;
25;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a5488c5b2b0.png;-18%;Kiaulienos mentė svogūnų ir pipirų marinate, sveriama, 1 kg;Iki 01.22;2;5;69;6,99;
26;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a5488d46522.png;-16%;Vištienos iešmeliai FIESTA su marinatu, 2 rūšių, 480 g;Iki 01.22;0;4;99;5,99;
27;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a5488c87f72.png;-40%;Lėtai virta viščiuko puselė HEAT & EAT su laukiniu česnaku, 1 kg;Iki 01.22;2;5;99;9,99;
28;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a54874cc8f9.png;1+1;Virtos BIOVELOS pieniškos dešrelės, a. r., 2 pak. x 260 g;Iki 01.22;0;2;99;;
29;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a54874b7b1e.png;2 vnt. už;Virtos kepamosios vištienos dešrelės WELL DONE, 2 rūšių, I r., 2 pak. x 270 g;Iki 01.22;0;2;69;;
30;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a5487420d2b.png;-28%;Mažai rūkytos ROKIŠKIO MĖSINĖS dešrelės, a. r., 550 g;Iki 01.22;0;4;99;6,99;
31;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a54875d09ef.png;-30%;Virtoms SAMSONO dešroms;Iki 01.22;0;;;;
32;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a548753711a.png;2 vnt. už;Karštai rūkytas BIOVELOS saliamis, I r., 2 pak. x 280 g;Iki 01.22;0;3;89;;
33;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a548751fe94.png;-40%;NEMATEKO MAŽYLIŲ linijos gaminiams;Iki 01.22;0;;;;
34;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a5487561316.png;2 vnt. už;Virta PANERIO dešra, a. r., 2 pak. x 250 g;Iki 01.22;0;2;49;;
35;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65a548754cc33.png;-37%;Vytinta pjaustyta BERNŲ dešra, a. r., 90 g;Iki 01.22;0;1;99;3,19;
