;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Item_price_before;Discount_facilitator
0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c1cd3a804bc.png;;Braškės, fasuotos, 400 g;Iki 02.12;0;3;49;;
1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcbcc244d.png;;Juodieji pomidorai, 1 kg;Iki 02.12;0;1;99;;
2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcbbb1414.png;;Lietuviški svogūnai, 1 kg;Iki 02.12;0;0;49;;
3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcbc7d4b7.png;;Obuoliai JONAGOLD, 1 kg;Iki 02.12;0;0;59;;
4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcbbd2bc9.png;;Raudonieji ridikėliai, fasuoti, 100 g;Iki 02.12;0;0;45;;
5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcadca345.png;;Apelsinai, 1 kg;Iki 02.12;0;0;89;;
6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcae0669c.png;;Citrinos, 1 kg;Iki 02.12;0;1;19;;
7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcae8283d.png;;Raudonosios besėklės vynuogės, fasuotos, 500 g;Iki 02.12;0;2;49;;
8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcae1d805.png;;Didžiosios kriaušės CONFERENCE, 1 kg;Iki 02.12;0;1;79;;
9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcadb1dc2.png;;Avokadas, 1 vnt.;Iki 02.12;0;0;69;;
10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcade31bc.png;;Ilgavaisis agurkas, 1 vnt.;Iki 02.12;0;0;99;;
11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcae4f56d.png;;Žiedinis kopūstas su lapais, 1 vnt.;Iki 02.12;0;1;99;;
12;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcae9b302.png;-30%;Špinatams, gražgarstėms WELL DONE;Iki 02.12;0;;;;
13;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65c0fcae69412.png;;Rauginti kopūstai LINKĖJIMAI IŠ KAIMO, fasuoti, 800 g;Iki 02.12;0;1;69;;
14;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65c0fcab0ad9a.png;-45%;Šviežia viščiukų broilerių filė VILNIAUS PAUKŠTYNAS, 500 g;Iki 02.12;0;2;99;5,49;
15;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65c0fcbb67819.png;-50%;UTENOS MĖSOS gaminių linijai LIETUVOS STANDARTAS;Iki 02.12;0;;;;
16;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65bcb3c1c9c82.png;1+1;Karštai rūkytos VASAROS dešrelės, l r., 2 pak. × 570 g;Iki 02.12;0;5;59;;Tik Su Programele
17;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65c0fdcd7d503.png;;Šaltai rūkytas pjaustytas ČESNAKINIS saliamis, II r., 110 g;Iki 03.04;0;1;14;;AČIŪ
18;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65c0fca6af473.png;-40%;Šviežios viščiukų broilerių šlaunelės WELL DONE, 500 g;Iki 02.12;0;1;19;1,99;
