;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Item_price_before;Discount_facilitator
0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b77032bbd70.png;;Smulkiavaisiai slyviniai pomidorai, fasuoti, 250 g;Iki 02.05;0;0;79;;
1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b770333a92e.png;;Didieji greipfrutai POMELO, 1 kg;Iki 02.05;0;0;89;;
2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b770335f013.png;;Ilgavaisiai agurkai, 1 kg;Iki 02.05;0;1;95;;
3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b7703249737.png;;Šilauogės, fasuotos, 400 g;Iki 02.05;0;4;49;;
4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b770326f19c.png;;Salotos vazonėlyje LOLLO BIONDO, fasuotos, 150 g;Iki 02.05;0;0;99;;
5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b77031f27cc.png;;Mandarinai, 1 kg;Iki 02.05;0;1;29;;
6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b7703224c4e.png;;Ananasai, 1 kg;Iki 02.05;0;1;39;;
7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b7702e3be51.png;;Kiviai, 1 kg;Iki 02.05;0;2;19;;
8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b7702dd4a2b.png;;Žaliosios besėklės vynuogės, fasuotos, 500 g;Iki 02.05;0;2;19;;
9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b7702d90b8d.png;;Obuoliai GOLDEN, 1 kg;Iki 02.05;0;1;49;;
10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b7702d50aa5.png;;Džiovintos datulės, fasuotos, 200 g;Iki 02.05;0;0;69;;
11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b7702d71c06.png;;Avokadai READY TO EAT WELL DONE, fasuoti, 1 pak. (2 vnt.);Iki 02.05;0;1;79;;
12;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b7702ebeb24.png;;Lietuviškos plautos morkos, 1 kg;Iki 02.05;0;0;55;;
13;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65b7702e807fb.png;;Rudieji pievagrybiai, fasuoti, 250 g;Iki 02.05;0;0;99;;
