;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Item_price_before;Discount_facilitator
0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453f035e25.png;;Bananai, 1 kg;Iki 02.26;0;0;89;;
1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453f009d17.png;;Apelsinai, 1 kg;Iki 02.26;0;0;89;;
2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e8f3ef0.png;;Smulkiavaisiai slyviniai pomidorai, fasuoti, 250 g;Iki 02.26;0;0;79;;
3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453dcc001b.png;;Didieji obuoliai GOLDEN, 75–85 mm, 1 kg;Iki 02.26;0;1;55;;
4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e27adbb.png;;Obuoliai GRANNY SMITH  70 mm, 1 kg;Iki 02.26;2;1;99;;
5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e1c825b.png;;Lietuviški obuoliai LINKĖJIMAI IŠ KAIMO, fasuoti  55 mm, 1 kg;Iki 02.26;0;0;99;;
6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e2c0e8c.png;;Obuoliai ROYAL GALA, 75–80 mm, 1 kg;Iki 02.26;2;1;89;;
7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e1e7b77.png;;Obuoliai JONAGOLD, 75–85 mm, 1 kg;Iki 02.26;0;0;59;;
8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e1a812d.png;;Obuoliai CRIMSON SNOW  80 mm, 1 kg;Iki 02.26;2;2;29;;
9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e29c80a.png;;Obuoliai EVELINE, 80–90 mm, 1 kg;Iki 02.26;2;2;19;;
10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e25a70e.png;;Obuoliai MORGANA  80 mm, 1 kg;Iki 02.26;2;2;19;;
11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e23b2d7.png;;Obuoliai PINK LADY, 70–80 mm, 1 kg;Iki 02.26;2;2;29;;
12;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e21891e.png;;Obuoliai FUJI, 80–90 mm, 1 kg;Iki 02.26;2;2;29;;
13;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e2e4592.png;;Geltonieji obuoliai SHINANO GOLD  80 mm, 1 kg;Iki 02.26;2;2;19;;
14;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453efa1f7c.png;;Obuoliai RED DELICIOUS, 85–95 mm, 1 kg;Iki 02.26;2;1;99;;
15;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453efd000b.png;;Obuoliai KANZI, 80–90 mm, 1 kg;Iki 02.26;2;1;99;;
16;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453ef480e6.png;;Obuoliai BRAEBURN, 80–90 mm, 1 kg;Iki 02.26;2;1;99;;
17;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453ef75b85.png;;Obuoliai PINOVA  80 mm, 1 kg;Iki 02.26;2;1;99;;
18;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453ef1b32a.png;;Lietuviški obuoliai, fasuoti  60 mm, 1 kg;Iki 02.26;2;0;99;;
19;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453eee50f8.png;;Obuoliai CHAMPION, fasuoti  55 mm, 1 kg;Iki 02.26;0;0;65;;
20;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453ee90eff.png;;Braškės, fasuotos, 400 g;Iki 02.26;0;2;99;;
21;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453eebaa7f.png;;Salotos ROMAINE, fasuotos, 300 g;Iki 02.26;0;1;19;;
22;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e89e7b9.png;;Citrinos, 1 kg;Iki 02.26;0;1;29;;
23;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e79d084.png;;Kiviai, 1 kg;Iki 02.26;0;2;19;;
24;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453e7f1105.png;;Melionai HONEY DEW, 1 kg;Iki 02.26;0;2;19;;
25;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453d755a87.png;;Didžiosios kriaušės CONFERENCE, 1 kg;Iki 02.26;0;1;79;;
26;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453d833850.png;;Raudonosios besėklės vynuogės, fasuotos, 500 g;Iki 02.26;0;2;39;;
27;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453d79b357.png;;Džiovinti mangai GĖRYBIŲ RAGAS, fasuoti, 500 g;Iki 02.26;0;4;99;;
28;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453d783528.png;;Ilgavaisis agurkas, 1 vnt.;Iki 02.26;0;0;99;;
29;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453d7b5a52.png;;Bulvės LINKĖJIMAI IŠ KAIMO, fasuotos, 1 kg;Iki 02.26;0;0;69;;
30;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65d453d801466.png;;Raugintų kopūstų sultys DIMDINI, 250 ml;Iki 02.26;0;0;49;;
31;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65d453cf11f5f.png;-22%;Atšaldytas kiaulienos kumpis be kaulo ir odos, vakuumuotas, 1 kg;Iki 02.26;0;3;49;4,49;
32;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65cdc6da64594.png;1+1;Keptas forminis vištienos kumpelis ČYZAS, 2 pak. x 400 g, 2 rūšių;Iki 02.26;0;4;99;;Tik Su Programele
33;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65c0fdcd7d503.png;;Šaltai rūkytas pjaustytas ČESNAKINIS saliamis, II r., 110 g;Iki 03.04;0;1;14;;AČIŪ
34;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65d453cf44cbb.png;-40%;Šviežios viščiukų broilerių sparnelių vidurinės dalys WELL DONE, 500 g;Iki 02.26;0;1;19;1,99;
35;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65d453ced2714.png;-33%;Atšaldyti kiaulienos šonkauliai WELL DONE, 1 kg;Iki 02.26;0;3;99;5,99;
36;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65d453cf57631.png;;Atšaldyta smulkinta kiauliena ir jautiena BIOVELA, 18 % rieb., 450 g;Iki 02.26;0;2;39;;AČIŪ
37;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65d453cee4205.png;-30%;Šviežia triušienos kumpelių mėsa LAPINO PUOTA, 200 g;Iki 02.26;0;3;49;4,99;
38;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65d453cf34495.png;-23%;Šviežios KAPSŲ kalakutienos dešrelės, 400 g;Iki 02.26;2;2;29;2,99;
39;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65d453d0cbc5b.png;-17%;Atšaldyta pjaustyta jautiena guliašui ruošti WELL DONE, 400 g;Iki 02.26;0;3;29;3,99;
40;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65d453d10f69a.png;-22%;Šviežia kiaulienos sprandinė GRYNUOLIAI be kaulo, 360 g;Iki 02.26;2;3;49;4,49;
