;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Item_price_before;Discount_facilitator
0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef65ba4a5.png;;Avokadai READY TO EAT WELL DONE, fasuoti, 1 pak. (2 vnt.);Iki 01.08;0;1;69;;
1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef65d5221.png;;Lietuviški baltagūžiai kopūstai, 1 kg;Iki 01.08;0;0;29;;
2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef654f4eb.png;;Didieji greipfrutai POMELO, 1 kg;Iki 01.08;0;0;99;;
3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef651809b.png;;Žaliosios besėklės vynuogės, fasuotos, 500 g;Iki 01.08;0;1;99;;
4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef659ed0e.png;;Smulkiavaisiai slyviniai pomidorai, fasuoti, 250 g;Iki 01.08;0;0;99;;
5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef65ee9b3.png;;Šilauogės kibirėlyje, fasuotos, 400 g;Iki 01.08;0;5;29;;
6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef78c7357.png;;Mandarinai, 1 kg;Iki 01.08;0;1;39;;
7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef792a0f4.png;;Didžiosios kriaušės CONFERENCE, 1 kg;Iki 01.08;0;1;79;;
8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/6595152d3da07.png;;Raudonos saldžiosios paprikos, 1 kg;Iki 01.08;0;1;99;;
9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef781fdd5.png;;Ilgavaisiai agurkai, 1 kg;Iki 01.08;0;2;35;;
10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef789b86e.png;;Žalioji cukinija, 1 vnt.;Iki 01.08;0;0;99;;
11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef79543cf.png;;Salierų stiebas, 1 vnt.;Iki 01.08;0;0;99;;
12;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef79a9853.png;;Salotų mišinys FIT & EASY FAMILY, fasuotos, 300 g;Iki 01.08;0;1;89;;
13;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658eef797f33b.png;;Rauginti agurkai LINKĖJIMAI IŠ KAIMO, vakuumuoti, 500 g;Iki 01.08;0;0;99;;
14;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658eef62005db.png;-50%;Šviežios viščiukų broilerių šlaunelės WELL DONE, 500 g;Iki 01.08;0;0;99;1,99;
15;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658eef5da693a.png;-40%;BIOVELOS karštai rūkytoms dešroms ir dešrelėms;Iki 01.08;0;;;;
16;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658e9af9c2740.png;2 vnt. už;SU PROGRAMĖLE! Virtos SAMSONIUKŲ dešrelės, a. r., 2 vnt. x 210 g;Iki 01.08;0;2;99;;Tik Su Programele
17;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658eef629164e.png;;Šviežias kiaulienos faršas BIOVELA, 350 g;Iki 01.08;0;1;15;;AČIŪ
18;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658eef625d42e.png;-50%;Lėtai virti marinuoti KREKENAVOS kiaulienos šonkauliai, a. r., 1 kg;Iki 01.08;2;7;49;14,99;
19;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658eef61c231a.png;-23%;Atšaldyta kiaulienos mentė be kaulo ir odos, vakuumuota, 1 kg;Iki 01.08;0;3;49;4,59;
