;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Item_price_before;Discount_facilitator
0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec809bb42.png;;Raudonosios besėklės vynuogės, fasuotos, 500 g;Iki 03.11;0;1;79;;
1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec817f009.png;;Gūžinės salotos ICEBERG, 1 vnt.;Iki 03.11;0;0;89;;
2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec816db6c.png;;Smulkiavaisiai slyviniai pomidorai, fasuoti, 250 g;Iki 03.11;0;0;79;;
3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec81bac18.png;;Citrinos, 1 kg;Iki 03.11;0;0;99;;
4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec81a7977.png;;Apelsinai, 1 kg;Iki 03.11;0;0;89;;
5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec81cd9fa.png;;Raudonieji apelsinai, fasuoti, 1 kg;Iki 03.11;0;1;59;;
6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec8193aed.png;;Dideli raudonieji greipfrutai, 1 kg;Iki 03.11;0;1;39;;
7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec81e1cbd.png;;Mangas, 1 vnt.;Iki 03.11;0;1;79;;
8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec9810946.png;;Obuoliai JONAGOLD, 1 kg;Iki 03.11;0;0;65;;
9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec97b2ccd.png;;Didžiosios kriaušės CONFERENCE, 1 kg;Iki 03.11;0;1;79;;
10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec98dc5ab.png;;Avokadas, 1 vnt.;Iki 03.11;0;0;69;;
11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65e5ec926811e.png;;Žalioji cukinija, 1 vnt.;Iki 03.11;0;0;79;;
