;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Item_price_before;Discount_facilitator
0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e29b2296.png;;Braškės širdelės formos dėžutėje, fasuotos, 300 g;Iki 02.19;0;2;99;;
1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e2a103af.png;;Avokadai READY TO EAT WELL DONE, fasuoti, 1 pak. (2 vnt.);Iki 02.19;0;1;79;;
2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e2a4a93b.png;;Ananasai, 1 kg;Iki 02.19;0;1;19;;
3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e37bfacb.png;;Dideli raudonieji greipfrutai, 1 kg;Iki 02.19;0;1;39;;
4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e38265fe.png;;Žaliosios besėklės vynuogės, fasuotos, 500 g;Iki 02.19;0;2;19;;
5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e3784539.png;;Šilauogės, fasuotos, 400 g;Iki 02.19;0;3;89;;
6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e386e5b5.png;;Žaliosios cukinijos, 1 vnt.;Iki 02.19;0;0;89;;
7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e38093c1.png;;Brokolis, 1 vnt.;Iki 02.19;0;0;99;;
8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e37695a2.png;;Mandarinai, 1 kg;Iki 02.19;0;1;29;;
9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e37de6cc.png;-35%;SVERIAMIEMS POMIDORAMS;Iki 02.19;0;;;;
10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e384775c.png;;Ilgavaisiai agurkai, 1 kg;Iki 02.19;0;2;25;;
11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e37a36b9.png;;Baklažanas, 1 vnt.;Iki 02.19;0;0;99;;
12;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e31458e1.png;;Švieži baltagūžiai kopūstai, 1 kg;Iki 02.19;0;1;69;;
13;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ca3e31a2347.png;-30%;Salotų mišiniams WELL DONE;Iki 02.19;0;;;;
14;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e3944c81.png;-38%;Atšaldyta kiaulienos sprandinė be kaulo, vakuumuota, 1 kg;Iki 02.19;0;3;69;5,99;
15;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e3018da4.png;-50%;BIOVELOS vytintoms dešroms;Iki 02.19;0;;;;
16;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65c9bf9974417.png;1+1;Virta MAŽYLIŲ dešra, a. r., 2 vnt. x 300 g;Iki 02.19;0;3;29;;Tik Su Programele
17;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65c0fdcd7d503.png;;Šaltai rūkytas pjaustytas ČESNAKINIS saliamis, II r., 110 g;Iki 03.04;0;1;14;;AČIŪ
18;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e307985d.png;-41%;Šviežia viščiukų broilerių šlaunelių mėsa WELL DONE, 500 g;Iki 02.19;0;1;99;3,39;
19;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e2feffa2.png;;Atšaldyta PEKINO antis WELL DONE, 1 kg;Iki 02.19;2;3;99;;AČIŪ
20;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e304a436.png;-23%;Brandintas jautienos antrekoto kepsnys WELL DONE, 240 g;Iki 02.19;0;4;99;6,49;
21;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e389ec0d.png;;Šviežias kalakutienos faršas WELL DONE, 400 g;Iki 02.19;0;1;99;;AČIŪ
22;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e38cfa9a.png;-15%;Švieži kiaulienos šoninės kubeliai WELL DONE, 300 g;Iki 02.19;0;1;69;1,99;
23;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e38f1259.png;-20%;Šviežia pjaustyta kiaulienos nugarinė WELL DONE, 360 g;Iki 02.19;0;2;39;2,99;
24;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e3f58664.png;-20%;Švieži kalakutienos filė gabaliukai WELL DONE, 200 g;Iki 02.19;0;1;19;1,49;
25;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e3f7c6bb.png;-20%;Šviežia viščiukų broilerių vidinė filė VILNIAUS PAUKŠTYNAS, 400 g;Iki 02.19;0;3;99;4,99;
26;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e3f9cc1f.png;-20%;Šviežios viščiukų broilerių blauzdelės VILNIAUS PAUKŠTYNAS, 500 g;Iki 02.19;0;2;29;2,89;
27;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e3fbe7d7.png;-16%;Vištienos iešmeliai FIESTA su marinatu, 2 rūšių, 480 g;Iki 02.19;0;4;99;5,99;
28;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e35106b0.png;-36%;Lėtai virta viščiuko broilerio filė HEAT & EAT barbekiu marinate, 400 g;Iki 02.19;0;3;49;5,49;
29;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e3556342.png;-50%;Lėtai virti marinuoti kiaulienos šonkauliai BIOVELA su barbekiu padažu, 900 g;Iki 02.19;0;7;49;14,99;
30;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e2f3a319.png;-50%;Virtos GIMINIŲ dešrelės, a. r., 860 g;Iki 02.19;0;3;99;7,99;
31;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e2eda5e9.png;-50%;VILNIAUS PAUKŠTYNO BE ANTIBIOTIKŲ linijos mėsos gaminiams;Iki 02.19;2;;;;
32;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e2f9ec1a.png;1+1;Virta SAMSONO DAKTARIŠKA dešra, a. r., 2 pak. × 330 g;Iki 02.19;0;3;49;;
33;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e2f8524e.png;-40%;Virta KREKENAVOS EKSTRA dešra su lašinukais, a. r., 320 g;Iki 02.19;0;1;79;2,99;
34;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e2fb76ba.png;1+1;Karštai rūkytas KREKENAVOS servelatas vakuume, a. r., 2 pak. × 400 g;Iki 02.19;0;3;99;;
35;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e2ef1b0e.png;-30%;Karštai rūkyta sausai sūdyta KLEBONIŠKA nugarinė, a. r., 1 kg;Iki 02.19;0;12;89;18,49;
36;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e2f6b62a.png;-40%;BIOVELOS karštai rūkytoms dešroms ir dešrelėms;Iki 02.19;0;;;;
37;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e47aac68.png;2 vnt. už;Karštai rūkyta kiaulienos filė su kmynais BIOVELA, I r., 2 pak. × 90 g;Iki 02.19;0;2;49;;
38;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e46d6163.png;-30%;Ispaniškiems pjaustytiems mėsos gaminiams ESPANA;Iki 02.19;0;;;;
39;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e30b3e25.png;-40%;Karštai rūkytoms dešrelėms TARCZYNSKI KABANOSI ir dešrelėms BITES;Iki 02.19;0;;;;
40;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65ca3e2fd7ec9.png;-30%;ROKIŠKIO MĖSINĖS vyniotiniams;Iki 02.19;0;;;;
41;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e4ac2f9d.png;-42%;Fermentinis ROKIŠKIO sūris, 45 % rieb. s. m., 240 g;Iki 02.19;0;1;49;2,59;
42;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e4a62092.png;-27%;Ant kraiko laikomų vištų kiaušiniai WELL DONE, 1 dėž. (10 vnt.);Iki 02.19;0;1;59;2,19;
43;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65c9bf999d720.png;2 vnt. už;"Jogurtas; pudingas; varškės kremas VALIO PROFEEL, 2 x 150-200 g, 7 rūšių";Iki 02.19;0;1;99;;Tik Su Programele
44;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65c0fdcda958a.png;;ROKIŠKIO sūris MOZZARELLA, 45 % rieb. s. m., 200 g;Iki 03.04;0;1;59;;AČIŪ
45;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65c0fdce011a5.png;;Kamamberas PRESIDENT, 60 % rieb. s. m., 3 rūšių, 120 g;Iki 03.04;0;1;39;;AČIŪ
46;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65c0fdce38c5d.png;;Lydytas sviestas KHANUM GHEE, 99,8 % rieb., 500 g;Iki 03.04;0;4;99;;AČIŪ
47;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e4aee325.png;3 vnt. už;Glaistytas VILKYŠKIŲ varškės sūrelis, 12 rūšių, 24–28 % rieb., 3 vnt. × 40 g;Iki 02.19;0;0;99;;
48;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e4a974ff.png;-40%;ROKIŠKIO NAMINIS sviestas, 82 % rieb., 180 g;Iki 02.19;0;1;49;2,49;
49;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e4b4e496.png;-30%;Plakta grietinėlė PRESIDENT, 20 % rieb., 250 g;Iki 02.19;2;1;79;2,59;
50;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e4baca51.png;;DVARO pienas, 2,5 % rieb., 2 l;Iki 02.19;0;2;49;;AČIŪ
51;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e45808ce.png;;DVARO kefyras, 3,2 % rieb., 900 g;Iki 02.19;0;1;49;;AČIŪ
52;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e4602c6e.png;-20%;Ekologiškiems pieno produktams AUGA;Iki 02.19;0;;;;
53;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e452d394.png;-24%;ROKIŠKIO NAMINĖ grietinė, 30 % rieb., 400 g;Iki 02.19;0;1;99;2,65;
54;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e44d87c5.png;-35%;ROKIŠKIO NAMINĖ pusriebė varškė, 9 % rieb., 1 kg;Iki 02.19;0;4;49;6,99;
55;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e465d19a.png;;ŽEMAITIJOS pusriebė varškė, 9 % rieb., 180 g;Iki 02.19;0;0;99;;AČIŪ
56;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e45a8462.png;-25%;"SENOLIŲ ZANAVYKŲ; LIETUVIŠKAS varškės sūris, 3 rūšių, 22 % rieb. s. m., 230–250 g";Iki 02.19;0;2;99;3,99;
57;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e45d0ff5.png;;Rūkytas lydytas ROKIŠKIO NAMINIS sūris su kumpiu, 40 % rieb. s. m., 250 g;Iki 02.19;0;1;99;;AČIŪ
58;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e4508f26.png;;Lydytas RAMBYNO tepamasis sūrelis, 3 rūšių, 50 % rieb. s. m., 175 g;Iki 02.19;0;1;59;;AČIŪ
59;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e4634253.png;2 vnt. už;VILKYŠKIŲ varškės užtepėlė, 3 rūšių, 18 % rieb., 2 pak. × 150 g;Iki 02.19;0;2;29;;
60;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e4554ffa.png;;Tepamasis varškės sūris ALMETTE, 3 rūšių, 20–24 % rieb. s. m., 150 g;Iki 02.19;0;1;69;;AČIŪ
61;Pieno gaminiai ir kiaušiniai;https://offers.maxima.lt/media/MarketingOffer/65ca3e333dd06.png;-42%;Majonezas ORIGINAL WELL DONE, 80 % rieb., 610 g;Iki 02.19;0;2;29;3,99;
