;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Item_price_before;Discount_facilitator
0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067dddbdcc.png;;Didieji greipfrutai POMELO, 1 kg;Iki 12.26;0;0;99;;
1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067de39140.png;;Ilgavaisiai agurkai, 1 kg;Iki 12.26;0;1;89;;
2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067dd95dc3.png;;Mandarinai, 1 kg;Iki 12.26;0;0;89;;
3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067dd225e6.png;;Raudonos saldžiosios paprikos, 1 kg;Iki 12.26;0;2;75;;
4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067de2122c.png;;Raudoni slyviniai pomidorai, fasuoti, 500 g;Iki 12.26;0;1;59;;
5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067dd653dd.png;;Žaliosios besėklės vynuogės, fasuotos, 500 g;Iki 12.26;0;2;49;;
6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067dd49e83.png;;Granatai, 1 kg;Iki 12.26;0;1;99;;
7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067dce03df.png;;Ananasai, 1 kg;Iki 12.26;0;1;19;;
8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067de01f97.png;;Džiovintos datulės, fasuotos, 200 g;Iki 12.26;0;0;69;;
9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067ddb8113.png;;Avokadai READY TO EAT WELL DONE, fasuoti, 1 pak. (2 vnt.);Iki 12.26;0;1;69;;
10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067e990dfa.png;;KIETAVIŠKIŲ lapinės salotos vazonėlyje, 1 vaz.;Iki 12.26;0;0;69;;
11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067e906b9f.png;;Lietuviški svogūnai, 1 kg;Iki 12.26;0;0;39;;
12;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067e8a9d96.png;;Rauginti kopūstai su morkomis DIMDINI, fasuoti, 850 g;Iki 12.26;0;0;69;;
13;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/658067e83e38a.png;;Lietuviški lupti virti burokėliai LINKĖJIMAI IŠ KAIMO, vakuumuoti, 500 g;Iki 12.26;0;0;59;;
14;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/65811d75967ad.png;-41%;Atšaldyta kiaulienos sprandinė be kaulo, vakuumuota, 1 kg;Iki 12.26;0;3;49;5,99;
15;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/657c23a1cf303.png;;SU PROGRAMĖLE! Mažai rūkyta PREMIUM kalakuto krūtinėlė, a. r., kg;Iki 12.25;0;8;99;17,99;Tik Su Programele
16;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067d3a9c2d.png;-11%;Šviežia kiaulienos sprandinė pipiriniame marinate, 1 kg;Iki 12.26;2;7;99;8,99;
17;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067f495ead.png;-10%;Šviežios kalakutų šlaunelės pipiriniame marinate, 1 kg;Iki 12.26;2;5;39;5,99;
18;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067f3a7c3c.png;-21%;Vytinta dešra JAMONDOR, 2 rūšių, I r., 400 g;Iki 12.26;2;10;99;13,99;
19;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067f312fb6.png;KASDIEN;KAIMIŠKAS mėsos gaminių rinkinys GARDULIS, a. r., 1 rink.;Iki 12.26;2;17;99;;
20;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067f4402f0.png;KASDIEN;Vytinta dešra BARZDUKAS, a. r., 200 g;Iki 12.26;2;4;99;;
21;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067f4c22b9.png;-50%;Atšaldyta PEKINO antis su kaklu WELL DONE, 1 kg;Iki 12.26;0;3;99;7,99;
22;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067f64c507.png;-50%;Atšaldyti KREKENAVOS kiaulių liežuviai, vakuumuoti, 1 kg;Iki 12.26;0;2;99;5,99;
23;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067dfa082c.png;-33%;Šviežia viščiukų broilerių šlaunelių mėsa WELL DONE, 500 g;Iki 12.26;0;1;99;2,99;
24;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067e05ce01.png;;Atšaldyta smulkinta kiauliena ir jautiena BIOVELA, 18 % rieb., 450 g;Iki 12.26;0;2;39;;AČIŪ
25;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067df4079b.png;-20%;Brandintas jautienos kumpio kepsnys WELL DONE, 220 g;Iki 12.26;2;3;99;4,99;
26;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067dff1f5f.png;-20%;Šviežia pjaustyta kiaulienos nugarinė WELL DONE, 360 g;Iki 12.26;0;2;39;2,99;
27;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067e03e8c1.png;-36%;Šviežia viščiukų broilerių filė VILNIAUS PAUKŠTYNAS, 500 g;Iki 12.26;0;3;49;5,49;
28;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067df801eb.png;-20%;Šviežios viščiukų broilerių blauzdelės VILNIAUS PAUKŠTYNAS, 500 g;Iki 12.26;0;2;29;2,89;
29;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067dfd7272.png;-20%;Šviežios vištienos dešrelės VILNIAUS PAUKŠTYNAS, 3 rūšių, 400 g;Iki 12.26;0;2;79;3,49;
30;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067e01a67c.png;-23%;ŠVENTINIS viščiukas su obuolių ir cinamono marinatu, 1 kg;Iki 12.26;0;4;99;6,49;
31;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067dfba61f.png;;Lėtai virta įdaryta žąsis WELL DONE, 1 kg;Iki 12.26;0;8;99;;AČIŪ
32;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067db09c15.png;-50%;Lėtai virti marinuoti kiaulienos šonkauliai BIOVELA, 900 g;Iki 12.26;0;7;49;14,99;
33;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067e600d69.png;-35%;SAMSONO virtoms dešrelėms ir sardelėms;Iki 12.26;0;;;;
34;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067e536d89.png;-50%;Virtos ROKIŠKIO sardelės EKSTRA, a. r., 500 g;Iki 12.26;0;1;99;3,99;
35;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067e66b3d1.png;-16%;Virtos vištienos dešrainių dešrelės HOT DOG, 2 rūšių, I r., 800–910 g;Iki 12.26;0;2;99;3,59;
36;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067d549e84.png;-44%;Virta SAMSONO DAKTARIŠKA dešra, a. r., 600 g;Iki 12.26;0;3;99;7,19;
37;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067d57675e.png;2 vnt. už;Karštai rūkytas servelatas LIETUVOS STANDARTAS, a. r., 2 pak. x 200 g;Iki 12.26;0;3;49;;AČIŪ
38;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/658067d5dd273.png;-40%;Virtas kalakutienos kumpis, a. r., 90 g;Iki 12.26;0;1;49;2,49;
