;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Item_price_before;Discount_facilitator
0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec081750.png;;Apelsinai, 1 kg;Iki 01.29;0;0;89;;
1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec183804.png;;Lietuviški baltagūžiai kopūstai, 1 kg;Iki 01.29;0;0;39;;
2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec1292aa.png;;Slyviniai pomidorai, 1 kg;Iki 01.29;0;1;75;;
3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec5ce654.png;;Žaliosios besėklės vynuogės, 1 kg;Iki 01.29;0;3;79;;
4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec0cc059.png;;Gūžinės salotos ICEBERG, 1 vnt.;Iki 01.29;0;0;99;;
5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec15656d.png;;Braškės, fasuotos, 250 g;Iki 01.29;0;2;79;;
6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec1ac3fd.png;;Melionai PIEL DE SAPO, 1 kg;Iki 01.29;0;1;79;;
7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec05e702.png;;Citrinos, 1 kg;Iki 01.29;0;1;19;;
8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec0a56f3.png;;Didžiosios kriaušės CONFERENCE, 1 kg;Iki 01.29;0;1;79;;
9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec1d5955.png;;Obuoliai JONAGOLD, 1 kg;Iki 01.29;0;0;55;;
10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec0f3190.png;;Avokadas, 1 vnt.;Iki 01.29;0;0;59;;
11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/65ae8ec25bcf0.png;;Ilgavaisiai agurkai, 1 vnt.;Iki 01.29;0;0;99;;
