;index;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Discount_text_decorator;Discount_facilitator
103;103;Duonos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656defae6be90.png; -18%;"
        Tamsi raikyta ruginė duona su saulėgrąžomis, 500 g
    ";"
             Iki 12.11
                ";0;1;35;"
                1,65
                €
            ";
104;104;Duonos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656defaf6e6af.png; -20%;"
        GARDĖSIO VAIKŲ SVAJONIŲ bandelės su varškės įdaru, 1 pak. (2 vnt. x 65 g)
    ";"
             Iki 12.11
                ";0;1;19;"
                1,49
                €
            ";
105;105;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def9ce85b1.png; -21%;"
        Šaldyta antis, 2 kg
    ";"
             Iki 12.11
                ";0;9;99;"
                12,79
                €
            ";
106;106;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8ae94da.png;;"
        Šaldyta aliaskinių rudagalvių menkių filė NOWACO be odos, 490 g
    ";"
             Iki 12.11
                ";0;2;95;;AČIŪ
107;107;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8975ee4.png; -22%;"
        Šaldytos virtos šiaurinės dryžakojės krevetės WELL DONE, 800 g
    ";"
             Iki 12.11
                ";0;6;99;"
                8,99
                €
            ";
108;108;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8b7480e.png; -20%;"
        Šaldytiems žuvies pusgaminiams NOWACO
    ";"
             Iki 12.11
                ";0;;;;
109;109;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8774188.png; -26%;"
        Šaldyti MOČIUTĖS koldūnai EXTRA, 1 kg
    ";"
             Iki 12.11
                ";0;3;69;"
                4,99
                €
            ";
110;110;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def87e98c7.png; -40%;"
        Šaldyti KYJIVO kotletai FOOD STORIES, 290 g
    ";"
             Iki 12.11
                ";0;2;99;"
                4,99
                €
            ";
111;111;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8831b9a.png; -25%;"
        Šaldytos sviestinės bandelės su šokoladu, 240 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;2;19;"
                2,95
                €
            ";
112;112;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8875544.png; -25%;"
        Šaldyta pica GRANDIOSA, 3 rūšių, 330–350 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;2;99;"
                3,99
                €
            ";
113;113;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def87a9335.png; -20%;"
        Produkcijai NATURLI
    ";"
             Iki 12.11
                ";0;;;;
114;114;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8ca9563.png; -50%;"
        Valgomieji ledai; plombyras ragelyje KAR KAR, 2 rūšių, 90 g
    ";"
             Iki 12.11
                ";0;0;99;"
                1,99
                €
            ";
115;115;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8c6e253.png;3 vnt. už;"
        Valgomieji ledai; plombyras puodelyje AURUM RETRO, 3 rūšių, 3 pak. x 70 g
    ";"
             Iki 12.11
                ";0;1;99;;AČIŪ
116;116;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8c319ef.png; -36%;"
        Valgomieji ledai ant pagaliuko LION, 62 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;1;45;"
                2,29
                €
            ";
